fp,county,state,never,rarely,sometimes,frequently,always
31015,Burt,NE,0.081,0.159,0.267,0.184,0.309
1013,Butler,AL,0.102,0.053,0.257,0.137,0.451
19015,Butler,IA,0.09,0.08,0.1,0.197,0.533
20007,Butler,KS,0.069,0.147,0.118,0.329,0.336
21023,Butler,KY,0.056,0.249,0.065,0.238,0.392
29015,Butler,MO,0.188,0.122,0.168,0.277,0.245
31017,Butler,NE,0.141,0.082,0.167,0.275,0.335
39011,Butler,OH,0.131,0.089,0.153,0.342,0.285
42013,Butler,PA,0.041,0.132,0.083,0.249,0.495
6003,Butte,CA,0.025,0.085,0.088,0.19,0.612
16015,Butte,ID,0.057,0.038,0.038,0.549,0.318
46013,Butte,SD,0.256,0.098,0.142,0.166,0.338
13029,Butts,GA,0.033,0.039,0.095,0.238,0.595
37019,Cabarrus,NC,0.024,0.018,0.036,0.248,0.673
54011,Cabell,WV,0.092,0.09,0.154,0.186,0.476
48507,Cache,UT,0.036,0.075,0.115,0.138,0.635
22009,Caddo,LA,0.13,0.092,0.073,0.246,0.459
40009,Caddo,OK,0.088,0.265,0.187,0.121,0.339
6005,Calaveras,CA,0.045,0.013,0.099,0.188,0.655
22011,Calcasieu,LA,0.086,0.069,0.169,0.191,0.486
21025,Caldwell,KY,0.114,0.081,0.126,0.241,0.438
22013,Caldwell,LA,0.078,0.052,0.17,0.291,0.409
29017,Caldwell,MO,0.097,0.152,0.132,0.268,0.35
37021,Caldwell,NC,0.009,0.023,0.044,0.23,0.693
48049,Caldwell,TX,0.085,0.077,0.066,0.239,0.534
49057,Caledonia,VT,0.066,0.089,0.072,0.287,0.486
1015,Calhoun,AL,0.152,0.108,0.13,0.167,0.442
5009,Calhoun,AR,0.129,0.145,0.122,0.189,0.416
12007,Calhoun,FL,0.106,0.168,0.172,0.173,0.381
13031,Calhoun,GA,0.053,0.049,0.163,0.31,0.424
19017,Calhoun,IA,0.048,0.062,0.197,0.268,0.424
17005,Calhoun,IL,0.07,0.055,0.108,0.218,0.549
26017,Calhoun,MI,0.014,0.055,0.103,0.202,0.627
28005,Calhoun,MS,0.11,0.092,0.122,0.204,0.473
45011,Calhoun,SC,0.169,0.067,0.035,0.281,0.447
48051,Calhoun,TX,0.02,0.072,0.071,0.281,0.555
54013,Calhoun,WV,0.085,0.07,0.227,0.21,0.408
48053,Callahan,TX,0.031,0.039,0.055,0.194,0.682
